user_text,intention_score,age,gender_male,gender_female,gender_non_binary
Empty nest and empty life.,1,36,0,1,0
"Feeling lonely, but I think it'll get better.",1,20,0,1,0
Wife left and I don't know who I am anymore.,1,45,1,0,0
"Failed my math test today. Not my best, but I’ll try again.",1,18,0,0,1
Pain meds are ready. I’ve decided.,1,59,0,1,0
Just tired from school lately.,1,15,0,0,1
I argued with my mom. Feeling down but it'll pass.,1,19,1,0,0
"Kids are gone, house is quiet. Just figuring out life again.",1,41,0,0,1
Crippling debt and no support system. Feeling trapped.,1,35,0,1,0
"Failed my math test today. Not my best, but I’ll try again.",1,14,0,0,1
"Kids are gone, house is quiet. Just figuring out life again.",1,38,0,1,0
Stressed about interviews but hopeful.,1,23,0,0,1
Stressed about interviews but hopeful.,1,25,1,0,0
"Caring for my dad is draining, but I’ll manage.",1,56,0,0,1
Stressed about interviews but hopeful.,1,33,1,0,0
Stressed about interviews but hopeful.,1,34,0,1,0
"The days are slow, but I keep going.",1,62,0,0,1
"Caring for my dad is draining, but I’ll manage.",1,47,0,1,0
"The days are slow, but I keep going.",1,76,0,1,0
Trying to balance everything – it's tough but okay.,1,34,0,0,1
"Failed my math test today. Not my best, but I’ll try again.",1,14,1,0,0
Wife left and I don't know who I am anymore.,1,56,0,0,1
"Feeling lonely, but I think it'll get better.",1,30,0,0,1
Worried about money after the layoff.,1,58,0,0,1
Lost my job and can’t provide anymore. I’m done.,1,50,0,0,1
"Kids are gone, house is quiet. Just figuring out life again.",1,56,0,1,0
Being alone every day hurts more than my body does.,1,67,1,0,0
"Failed my math test today. Not my best, but I’ll try again.",1,15,0,1,0
I’m a burden. My family would be better without me.,1,37,0,1,0
Stressed about interviews but hopeful.,1,24,1,0,0
"Caring for my dad is draining, but I’ll manage.",1,51,1,0,0
Saying goodbye doesn’t scare me. I'm at peace with my choice.,1,72,0,0,1
The silence is too loud. I cry most nights.,1,69,0,1,0
"Feeling lonely, but I think it'll get better.",1,23,0,1,0
I wish I could just disappear from all this stress.,1,15,1,0,0
"Lonely, yes. But I enjoy gardening still.",1,67,0,0,1
"Caring for my dad is draining, but I’ll manage.",1,58,1,0,0
I argued with my mom. Feeling down but it'll pass.,1,14,0,0,1
I’m alone in a new city and I don’t think I’ll make it.,1,21,1,0,0
Wife left and I don't know who I am anymore.,1,56,1,0,0
Stressed about interviews but hopeful.,1,27,0,0,1
Worried about money after the layoff.,1,43,1,0,0
Wife left and I don't know who I am anymore.,1,49,1,0,0
"Health is failing, and so is everything else.",1,56,0,0,1
"Feeling lonely, but I think it'll get better.",1,25,0,1,0
Saying goodbye doesn’t scare me. I'm at peace with my choice.,1,63,0,0,1
I’m alone in a new city and I don’t think I’ll make it.,1,21,0,1,0
Just tired from school lately.,1,14,0,1,0
Just tired from school lately.,1,17,0,1,0
I miss my wife so much. It’s unbearable some days.,1,73,0,0,1
They keep calling me names at school. I'm done pretending to be okay.,1,18,0,1,0
Worried about money after the layoff.,1,42,1,0,0
"Kids are gone, house is quiet. Just figuring out life again.",1,37,0,1,0
"Kids are gone, house is quiet. Just figuring out life again.",1,39,0,1,0
I argued with my mom. Feeling down but it'll pass.,1,15,0,0,1
Stressed about interviews but hopeful.,1,28,1,0,0
Wife left and I don't know who I am anymore.,1,60,1,0,0
"Caring for my dad is draining, but I’ll manage.",1,39,0,1,0
Everything is falling apart. I’ve thought of how to end it.,1,35,1,0,0
"Caring for my dad is draining, but I’ll manage.",1,55,0,1,0
I’m alone in a new city and I don’t think I’ll make it.,1,28,0,1,0
It's like I don’t matter at all in my family.,1,16,0,1,0
They keep calling me names at school. I'm done pretending to be okay.,1,14,1,0,0
Trying to balance everything – it's tough but okay.,1,28,0,0,1
I wish I could just disappear from all this stress.,1,18,1,0,0
Stressed about interviews but hopeful.,1,24,0,0,1
Just tired from school lately.,1,19,0,0,1
Trying to balance everything – it's tough but okay.,1,31,1,0,0
I argued with my mom. Feeling down but it'll pass.,1,16,1,0,0
"Lonely, yes. But I enjoy gardening still.",1,62,0,0,1
I argued with my mom. Feeling down but it'll pass.,1,16,1,0,0
Breakups suck. I feel empty.,1,31,1,0,0
"Kids are gone, house is quiet. Just figuring out life again.",1,42,1,0,0
"Caring for my dad is draining, but I’ll manage.",1,51,1,0,0
"Failed my math test today. Not my best, but I’ll try again.",1,14,1,0,0
I have my will and pills. No more waiting.,1,72,0,1,0
I miss my wife so much. It’s unbearable some days.,1,79,0,1,0
Worried about money after the layoff.,1,38,1,0,0
Being alone every day hurts more than my body does.,1,68,0,0,1
It's like I don’t matter at all in my family.,1,17,0,1,0
"Failed my math test today. Not my best, but I’ll try again.",1,16,0,1,0
It's like I don’t matter at all in my family.,1,19,1,0,0
Crippling debt and no support system. Feeling trapped.,1,22,1,0,0
Being alone every day hurts more than my body does.,1,61,0,0,1
I wish I could just disappear from all this stress.,1,19,0,0,1
"Caring for my dad is draining, but I’ll manage.",1,54,0,0,1
Empty nest and empty life.,1,50,1,0,0
"Health is failing, and so is everything else.",1,60,0,0,1
Empty nest and empty life.,1,36,1,0,0
Stressed about interviews but hopeful.,1,33,0,1,0
Trying to balance everything – it's tough but okay.,1,32,1,0,0
Stressed about interviews but hopeful.,1,27,1,0,0
"Kids are gone, house is quiet. Just figuring out life again.",1,37,0,1,0
"Feeling lonely, but I think it'll get better.",1,31,1,0,0
Worried about money after the layoff.,1,59,1,0,0
Crippling debt and no support system. Feeling trapped.,1,32,1,0,0
"Caring for my dad is draining, but I’ll manage.",1,43,0,0,1
Crippling debt and no support system. Feeling trapped.,1,33,0,1,0
"Kids are gone, house is quiet. Just figuring out life again.",1,42,0,1,0
Lost my job and can’t provide anymore. I’m done.,1,56,1,0,0
"The days are slow, but I keep going.",1,62,1,0,0
Pain meds are ready. I’ve decided.,1,42,0,1,0
"Feeling lonely, but I think it'll get better.",1,34,0,1,0
"Failed my math test today. Not my best, but I’ll try again.",1,15,0,0,1
"Feeling lonely, but I think it'll get better.",1,26,1,0,0
Another day of rejection letters. What's the point?,1,25,0,0,1
"The days are slow, but I keep going.",1,65,0,1,0
"Kids are gone, house is quiet. Just figuring out life again.",1,41,0,0,1
I miss my wife so much. It’s unbearable some days.,1,67,1,0,0
They keep calling me names at school. I'm done pretending to be okay.,1,17,0,0,1
They keep calling me names at school. I'm done pretending to be okay.,1,15,0,0,1
Worried about money after the layoff.,1,52,0,0,1
"Failed my math test today. Not my best, but I’ll try again.",1,14,0,1,0
Stressed about interviews but hopeful.,1,32,0,1,0
There’s nothing left but pain. I’m ready to go.,1,78,0,1,0
"Caring for my dad is draining, but I’ll manage.",1,59,1,0,0
Empty nest and empty life.,1,56,0,1,0
I have my will and pills. No more waiting.,1,73,0,0,1
Worried about money after the layoff.,1,54,0,0,1
No one talks to me anymore. I don't think I can survive another week.,1,15,0,0,1
"Caring for my dad is draining, but I’ll manage.",1,38,1,0,0
Trying to balance everything – it's tough but okay.,1,21,0,0,1
"Caring for my dad is draining, but I’ll manage.",1,55,1,0,0
"It’s tough, but I’ve survived worse.",1,78,0,0,1
Saying goodbye doesn’t scare me. I'm at peace with my choice.,1,66,0,0,1
Being alone every day hurts more than my body does.,1,72,0,1,0
"The days are slow, but I keep going.",1,63,0,1,0
"Failed my math test today. Not my best, but I’ll try again.",1,16,0,0,1
I miss my wife so much. It’s unbearable some days.,1,64,0,0,1
"Lonely, yes. But I enjoy gardening still.",1,80,0,1,0
"The days are slow, but I keep going.",1,62,0,0,1
"Health is failing, and so is everything else.",1,44,0,1,0
Another day of rejection letters. What's the point?,1,20,1,0,0
Empty nest and empty life.,1,52,1,0,0
"It’s tough, but I’ve survived worse.",1,73,0,1,0
"Health is failing, and so is everything else.",1,52,0,0,1
It's like I don’t matter at all in my family.,1,15,0,1,0
I’m a burden. My family would be better without me.,1,56,0,0,1
Stressed about interviews but hopeful.,1,20,0,1,0
Trying to balance everything – it's tough but okay.,1,21,0,0,1
Just tired from school lately.,1,14,0,0,1
Wife left and I don't know who I am anymore.,1,48,0,0,1
Breakups suck. I feel empty.,1,25,1,0,0
Lost my job and can’t provide anymore. I’m done.,1,49,0,1,0
No one talks to me anymore. I don't think I can survive another week.,1,19,1,0,0
The silence is too loud. I cry most nights.,1,80,0,0,1
Trying to balance everything – it's tough but okay.,1,27,0,1,0
Worried about money after the layoff.,1,54,0,0,1
Everything is falling apart. I’ve thought of how to end it.,1,30,0,0,1
I miss my wife so much. It’s unbearable some days.,1,66,0,1,0
"Health is failing, and so is everything else.",1,39,1,0,0
"The days are slow, but I keep going.",1,77,0,1,0
"Lonely, yes. But I enjoy gardening still.",1,72,1,0,0
Breakups suck. I feel empty.,1,23,0,1,0
I’ve written a note. I just want the pain to stop.,1,16,0,1,0
Stressed about interviews but hopeful.,1,34,0,1,0
"It’s tough, but I’ve survived worse.",1,71,1,0,0
"Lonely, yes. But I enjoy gardening still.",1,63,0,0,1
"Kids are gone, house is quiet. Just figuring out life again.",1,43,1,0,0
"Health is failing, and so is everything else.",1,59,0,1,0
"Kids are gone, house is quiet. Just figuring out life again.",1,38,0,0,1
Worried about money after the layoff.,1,58,0,0,1
"The days are slow, but I keep going.",1,80,1,0,0
Another day of rejection letters. What's the point?,1,32,1,0,0
It's like I don’t matter at all in my family.,1,19,1,0,0
Everyone else has friends. Why am I always alone?,1,19,0,1,0
"Failed my math test today. Not my best, but I’ll try again.",1,18,0,1,0
I argued with my mom. Feeling down but it'll pass.,1,19,1,0,0
Pain meds are ready. I’ve decided.,1,53,1,0,0
Pain meds are ready. I’ve decided.,1,46,0,1,0
"Failed my math test today. Not my best, but I’ll try again.",1,18,0,0,1
"Caring for my dad is draining, but I’ll manage.",1,58,1,0,0
Empty nest and empty life.,1,40,0,0,1
Saying goodbye doesn’t scare me. I'm at peace with my choice.,1,80,0,0,1
I miss my wife so much. It’s unbearable some days.,1,72,0,1,0
I argued with my mom. Feeling down but it'll pass.,1,14,0,1,0
Being alone every day hurts more than my body does.,1,67,0,1,0
Pain meds are ready. I’ve decided.,1,58,0,0,1
"It’s tough, but I’ve survived worse.",1,63,1,0,0
Being alone every day hurts more than my body does.,1,64,0,0,1
Worried about money after the layoff.,1,45,1,0,0
Crippling debt and no support system. Feeling trapped.,1,24,1,0,0
I argued with my mom. Feeling down but it'll pass.,1,19,0,1,0
Wife left and I don't know who I am anymore.,1,50,0,0,1
"Failed my math test today. Not my best, but I’ll try again.",1,17,1,0,0
I miss my wife so much. It’s unbearable some days.,1,63,0,1,0
I’ve written a note. I just want the pain to stop.,1,18,0,0,1
Trying to balance everything – it's tough but okay.,1,24,0,0,1
"It’s tough, but I’ve survived worse.",1,73,0,0,1
Breakups suck. I feel empty.,1,21,0,0,1
I’m alone in a new city and I don’t think I’ll make it.,1,25,0,1,0
"Lonely, yes. But I enjoy gardening still.",1,66,0,1,0
Crippling debt and no support system. Feeling trapped.,1,20,0,1,0
Just tired from school lately.,1,18,0,1,0
Everyone else has friends. Why am I always alone?,1,19,0,0,1
"Health is failing, and so is everything else.",1,50,0,1,0
"The days are slow, but I keep going.",1,67,0,1,0
"Caring for my dad is draining, but I’ll manage.",1,43,0,1,0
Trying to balance everything – it's tough but okay.,1,26,1,0,0
I argued with my mom. Feeling down but it'll pass.,1,17,0,1,0
"The days are slow, but I keep going.",1,79,0,0,1
"It’s tough, but I’ve survived worse.",1,72,0,1,0
"Health is failing, and so is everything else.",1,41,0,1,0
"No job, no partner, no reason to keep going.",1,28,0,1,0
I wish I could just disappear from all this stress.,1,18,0,1,0
"Caring for my dad is draining, but I’ll manage.",1,36,0,0,1
Breakups suck. I feel empty.,1,35,0,1,0
Trying to balance everything – it's tough but okay.,1,31,0,0,1
Being alone every day hurts more than my body does.,1,72,0,1,0
"Lonely, yes. But I enjoy gardening still.",1,77,0,0,1
"The days are slow, but I keep going.",1,78,0,0,1
"It’s tough, but I’ve survived worse.",1,64,0,0,1
Worried about money after the layoff.,1,39,1,0,0
Just tired from school lately.,1,17,0,1,0
Trying to balance everything – it's tough but okay.,1,32,0,0,1
"Kids are gone, house is quiet. Just figuring out life again.",1,41,0,1,0
Stressed about interviews but hopeful.,1,32,1,0,0
"It’s tough, but I’ve survived worse.",1,65,0,0,1
"Failed my math test today. Not my best, but I’ll try again.",1,16,1,0,0
I argued with my mom. Feeling down but it'll pass.,1,18,1,0,0
Being alone every day hurts more than my body does.,1,73,1,0,0
"The days are slow, but I keep going.",1,73,0,0,1
"The days are slow, but I keep going.",1,66,0,0,1
Stressed about interviews but hopeful.,1,24,1,0,0
It's like I don’t matter at all in my family.,1,17,1,0,0
Worried about money after the layoff.,1,57,1,0,0
"Kids are gone, house is quiet. Just figuring out life again.",1,47,1,0,0
"Failed my math test today. Not my best, but I’ll try again.",1,19,1,0,0
No one talks to me anymore. I don't think I can survive another week.,1,15,0,0,1
Worried about money after the layoff.,1,42,1,0,0
"Failed my math test today. Not my best, but I’ll try again.",1,17,0,0,1
Stressed about interviews but hopeful.,1,25,0,1,0
"It’s tough, but I’ve survived worse.",1,70,0,0,1
I argued with my mom. Feeling down but it'll pass.,1,17,1,0,0
Worried about money after the layoff.,1,58,0,1,0
"It’s tough, but I’ve survived worse.",1,69,1,0,0
"Caring for my dad is draining, but I’ll manage.",1,54,0,1,0
No one talks to me anymore. I don't think I can survive another week.,1,15,1,0,0
"Failed my math test today. Not my best, but I’ll try again.",1,18,0,0,1
"Kids are gone, house is quiet. Just figuring out life again.",1,53,1,0,0
"The days are slow, but I keep going.",1,65,0,0,1
"Lonely, yes. But I enjoy gardening still.",1,63,0,0,1
Everyone else has friends. Why am I always alone?,1,18,0,1,0
Wife left and I don't know who I am anymore.,1,60,0,0,1
I wish I could just disappear from all this stress.,1,16,1,0,0
"Kids are gone, house is quiet. Just figuring out life again.",1,52,1,0,0
Just tired from school lately.,1,17,0,1,0
I wish I could just disappear from all this stress.,1,15,1,0,0
Another day of rejection letters. What's the point?,1,29,0,1,0
"Caring for my dad is draining, but I’ll manage.",1,50,0,0,1
"Kids are gone, house is quiet. Just figuring out life again.",1,54,0,0,1
I miss my wife so much. It’s unbearable some days.,1,67,0,1,0
No one talks to me anymore. I don't think I can survive another week.,1,19,0,1,0
Trying to balance everything – it's tough but okay.,1,21,0,1,0
